entrez_id_human,entrez_id_mouse,pleiotropy_HPO,pleiotropy_MPO,median_exp,mean_exp,count_exp
85379,243219.0,,0.0,9.76596,12.094569037735848,26.0
85449,228846.0,,,5.18974,6.9053778566037725,12.0
158405,230259.0,,0.0,1.85981,2.365494547169812,0.0
100652824,381260.0,,,0.0482379,0.2758743556603773,0.0
90231,77034.0,,,42.018,39.625541509433965,53.0
158358,240613.0,,,11.712,12.056003396226414,31.0
144577,270802.0,,,,,
57498,77480.0,1.0,1.0,15.5581,18.795176792452832,45.0
3832,16551.0,2.0,1.0,0.827788,2.8874851698113218,4.0
113220,16552.0,1.0,,1.34148,13.275210013207545,10.0
63971,16553.0,,2.0,13.9066,14.917697415094338,32.0
23303,16554.0,,2.0,12.6107,13.214859245283016,36.0
9928,381293.0,1.0,1.0,0.101527,0.653586173584906,1.0
56992,209737.0,1.0,,0.493623,1.527835483018868,2.0
55614,16558.0,,2.0,6.23487,6.267395849056603,6.0
57576,16559.0,,1.0,1.78964,4.431998507547171,5.0
81930,228421.0,,1.0,0.273462,1.2196284207547168,2.0
146909,70218.0,,1.0,0.22718,1.5810666849056605,2.0
124602,286942.0,,1.0,1.74322,5.19429077509434,2.0
645357,101055939.0,,,,,
547,16560.0,1.0,1.0,1.03772,57.21616301886792,18.0
23095,16561.0,2.0,2.0,14.5396,22.7708886792453,42.0
10749,16562.0,1.0,1.0,67.2228,81.8386283018868,53.0
10112,19348.0,1.0,1.0,0.196243,2.273317871698113,3.0
9585,240641.0,,2.0,1.48289,2.2472123207547177,1.0
55605,16564.0,1.0,1.0,9.22219,10.975344905660378,25.0
23046,16565.0,,1.0,1.88794,5.540205301886791,10.0
3835,110033.0,1.0,1.0,12.3482,15.759650943396226,33.0
9493,71819.0,1.0,,1.52116,3.3729757018867916,3.0
347240,109242.0,,,0.744362,1.3204845660377358,1.0
26153,668303.0,,1.0,3.21051,3.7722025207547167,1.0
55083,269152.0,,1.0,0.711931,1.1348220094339623,0.0
55582,75050.0,,2.0,1.82441,2.286952603773585,1.0
100130097,383592.0,,,0.0924961,0.1487820075471698,0.0
3796,16563.0,1.0,1.0,10.9184,11.938004905660371,32.0
84643,73470.0,,,0.0,3.38859497,1.0
11004,73804.0,,1.0,0.925989,5.8846689433962265,3.0
11127,16568.0,,2.0,6.26099,9.91112083018868,16.0
9371,16569.0,1.0,2.0,22.8428,23.211902264150947,50.0
3797,16570.0,,1.0,6.77748,18.695502471698113,18.0
3798,16572.0,1.0,2.0,2.31508,108.6439575150943,15.0
3799,16573.0,,1.0,64.3515,71.87792452830188,53.0
3800,16574.0,1.0,1.0,3.0178,45.910366188679234,18.0
221458,319991.0,,1.0,0.153906,0.4637404396226415,0.0
374654,16576.0,2.0,2.0,4.2977,7.567262490566041,19.0
64147,16578.0,,1.0,2.32032,3.217313924528302,1.0
22920,16579.0,,1.0,19.3742,21.18847830188679,49.0
26128,72320.0,1.0,2.0,,,
90990,16581.0,,,32.9468,52.989263018867945,49.0
3801,16582.0,,0.0,13.0526,16.57391554716981,41.0
22944,16588.0,,1.0,4.9964,5.061501698113208,0.0
55243,170643.0,1.0,2.0,,,
84063,243911.0,,0.0,0.0490924,0.957037326981132,1.0
84623,67703.0,,1.0,0.387537,3.1991495490566044,7.0
3814,280287.0,1.0,2.0,0.141739,0.5335556169811322,0.0
84634,114229.0,1.0,2.0,0.0717237,0.3416932875471699,0.0
3815,16590.0,2.0,2.0,7.74392,11.464608905660377,22.0
4254,17311.0,1.0,2.0,7.69678,10.993735149056604,19.0
55857,228730.0,1.0,,13.4269,16.892878867924523,33.0
9365,16591.0,1.0,2.0,1.21052,2.2024526792452837,2.0
