	MGI	MP
243	MGI:1298379	MP:0001262,MP:0010053,MP:0000876,MP:0003354,MP:0005405,MP:0002757,MP:0005388,MP:0005384,MP:0005385,MP:0009456,MP:0005386,MP:0009454,MP:0001513,MP:0005397,MP:0001053,MP:0020448,MP:0001393,MP:0001265,MP:0001523,MP:0010047,MP:0009400,MP:0000852,MP:0002083,MP:0005387,MP:0005378,MP:0010768,MP:0001263,MP:0005369,MP:0001405,MP:0005376,MP:0003631
244	MGI:1261419	
245	MGI:1927715	MP:0005386,MP:0005376
246	MGI:99161	MP:0005389,MP:0005382,MP:0005387,MP:0005378,MP:0010768,MP:0005379,MP:0005397,MP:0005390
247	MGI:2388131	
248	MGI:1914296	MP:0005369,MP:0005386,MP:0003631,MP:0005378
249	MGI:108174	MP:0005389,MP:0005387,MP:0005378,MP:0005381,MP:0005384,MP:0005369,MP:0005385,MP:0010768,MP:0005375,MP:0005386,MP:0005397,MP:0005376,MP:0003631
250	MGI:2387183	
251	MGI:1342283	MP:0005377,MP:0005386,MP:0005367,MP:0005376,MP:0005378,MP:0003631
252	MGI:2441844	
253	MGI:1918934	
