MGI:1339752	MP:0005040,MP:0012109,MP:0005384,MP:0005385,MP:0005375,MP:0001175,MP:0005380,MP:0010771,MP:0008245,MP:0001265,MP:0002442,MP:0003718,MP:0011086,MP:0001732,MP:0004800,MP:0009020,MP:0005378,MP:0005185,MP:0009011,MP:0001861,MP:0003356,MP:0001928,MP:0001921,MP:0002161,MP:0005376,MP:0012098,MP:0011090,MP:0002270,MP:0009006,MP:0004856,MP:0001132,MP:0011101,MP:0005388,MP:0001712,MP:0001715,MP:0005386,MP:0005397,MP:0001120,MP:0005399,MP:0004200,MP:0005027,MP:0010998,MP:0005389,MP:0005387,MP:0010768,MP:0001958,MP:0000688,MP:0002224,MP:0001935,MP:0005379,MP:0003799,MP:0002412,MP:0004201
MGI:3031346	nan
MGI:2176229	nan
MGI:1930788	MP:0005390,MP:0005375,MP:0005376,MP:0005378
MGI:1345181	MP:0005389,MP:0005387,MP:0005378,MP:0005384,MP:0005391,MP:0005386,MP:0005376,MP:0003631
MGI:2384296	MP:0005386,MP:0005381,MP:0005389
MGI:1277216	nan
MGI:1918937	nan
MGI:98296	MP:0005387,MP:0005378,MP:0005384,MP:0005385,MP:0005369,MP:0010768,MP:0005386,MP:0005379,MP:0005380,MP:0005397,MP:0003631
MGI:1926341	MP:0005376,MP:0005384
MGI:3045221	MP:0005387,MP:0005397
MGI:101911	MP:0005390,MP:0005387,MP:0005397
MGI:1915775	MP:0001262,MP:0005382,MP:0002427,MP:0008489,MP:0002764,MP:0005352,MP:0005381,MP:0005384,MP:0005371,MP:0005385,MP:0005386,MP:0003109,MP:0000547,MP:0004355,MP:0005370,MP:0005397,MP:0004359,MP:0005390,MP:0010771,MP:0010124,MP:0005389,MP:0030081,MP:0005387,MP:0005378,MP:0010768,MP:0000433,MP:0010879,MP:0004351,MP:0002765,MP:0001258,MP:0005379,MP:0011110,MP:0003631
MGI:1930197	nan
MGI:1351867	MP:0010768,MP:0005376
MGI:1922805	nan
MGI:107610	nan
MGI:1278325	nan
MGI:1933148	MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005378,MP:0005385
MGI:2445092	MP:0005389,MP:0005379,MP:0005376,MP:0003631,MP:0005384
MGI:2179203	nan
MGI:1917505	MP:0005386
MGI:2135945	MP:0005389,MP:0005384
MGI:2673967	nan
MGI:97899	nan
MGI:2444256	nan
MGI:1349393	nan
MGI:1915517	nan
MGI:1919247	MP:0005377,MP:0005382,MP:0005388,MP:0005385,MP:0005371,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005380,MP:0005390,MP:0010771,MP:0005387,MP:0005378,MP:0010768,MP:0005369,MP:0005391,MP:0005379,MP:0005376,MP:0003631
MGI:96161	nan
MGI:1924165	MP:0005389
MGI:1917384	nan
MGI:107537	MP:0001262,MP:0001762,MP:0006069,MP:0002135,MP:0008195,MP:0003632,MP:0005241,MP:0001426,MP:0005384,MP:0005618,MP:0005367,MP:0005370,MP:0005627,MP:0011079,MP:0004275,MP:0006007,MP:0000598,MP:0000788,MP:0002083,MP:0003566,MP:0005378,MP:0000812,MP:0001325,MP:0002161,MP:0005376,MP:0003631,MP:0001406,MP:0002183,MP:0005277,MP:0003313,MP:0002376,MP:0003733,MP:0000875,MP:0009940,MP:0003354,MP:0008997,MP:0002451,MP:0000745,MP:0001326,MP:0002988,MP:0005386,MP:0000807,MP:0001513,MP:0008056,MP:0005397,MP:0002906,MP:0002152,MP:0020448,MP:0001407,MP:0005389,MP:0001327,MP:0002182,MP:0005584,MP:0005387,MP:0010768,MP:0005391,MP:0000607,MP:0005058,MP:0001405
MGI:1916684	nan
MGI:99828	MP:0005387,MP:0005390,MP:0005376,MP:0005371
MGI:1921579	MP:0005387,MP:0005376,MP:0005381,MP:0005384
MGI:1858916	nan
MGI:1913332	MP:0005379,MP:0005378,MP:0005384,MP:0005369,MP:0005375,MP:0005386,MP:0005370,MP:0005376
MGI:2676831	MP:0002006,MP:0005387,MP:0005378,MP:0010768,MP:0005390,MP:0005379,MP:0005397,MP:0005376
MGI:108247	MP:0005382,MP:0010768,MP:0005378,MP:0005384,MP:0005371,MP:0005369,MP:0005385,MP:0005370,MP:0005380,MP:0005376,MP:0003631
MGI:1096867	MP:0005389,MP:0005382,MP:0010768,MP:0005378,MP:0005384,MP:0005371,MP:0005388,MP:0005386,MP:0005367,MP:0005379,MP:0003631
MGI:1934031	MP:0005389,MP:0005386,MP:0005367,MP:0005376,MP:0010768,MP:0005378,MP:0003631
MGI:2444782	nan
MGI:106022	nan
MGI:1919272	nan
MGI:3650329	nan
MGI:3040687	nan
MGI:1333882	MP:0002006,MP:0005391,MP:0005385
MGI:87931	MP:0005387
MGI:96418	MP:0005377,MP:0005382,MP:0005388,MP:0005384,MP:0005385,MP:0005371,MP:0005375,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005390,MP:0010771,MP:0010768,MP:0005378,MP:0005387,MP:0005369,MP:0005391,MP:0005376,MP:0003631
MGI:2442832	MP:0005377,MP:0002622,MP:0006288,MP:0005384,MP:0011061,MP:0003308,MP:0004736,MP:0004522,MP:0000031,MP:0013203,MP:0006325,MP:0011966,MP:0011967,MP:0011062,MP:0003631,MP:0004300
MGI:88144	MP:0005386,MP:0005387,MP:0005397
MGI:1196294	MP:0010771,MP:0005370,MP:0005378,MP:0005385,MP:0005387,MP:0005388,MP:0010768,MP:0005386,MP:0005379,MP:0005380,MP:0005397,MP:0003631
MGI:1916221	MP:0010768,MP:0005376
MGI:1202065	MP:0001186,MP:0005389,MP:0010771,MP:0010768,MP:0005384,MP:0005379,MP:0005380,MP:0005376,MP:0003631
MGI:3698433	MP:0005376,MP:0005384
MGI:1890216	MP:0005387,MP:0005389,MP:0005376,MP:0005397
MGI:104633	MP:0005377,MP:0005381,MP:0005384,MP:0005385,MP:0005386,MP:0005367,MP:0005370,MP:0005397,MP:0005390,MP:0010771,MP:0005389,MP:0005387,MP:0005378,MP:0010768,MP:0005391,MP:0005379,MP:0005376,MP:0003631
MGI:3644477	nan
MGI:99580	nan
MGI:4834330	nan
MGI:98888	MP:0005389,MP:0005378,MP:0005384,MP:0005391,MP:0005375,MP:0005386,MP:0005379,MP:0005376,MP:0003631
MGI:1924712	MP:0005391,MP:0005386,MP:0005378,MP:0005397,MP:0005387,MP:0005388,MP:0005376
MGI:1330840	nan
MGI:1202890	MP:0005389,MP:0005387,MP:0005381,MP:0005385,MP:0005384,MP:0005388,MP:0005391,MP:0010768,MP:0005379,MP:0005397,MP:0005376,MP:0010771
MGI:3030063	nan
MGI:1923820	MP:0005397,MP:0005387,MP:0003631,MP:0005379
MGI:1924647	nan
MGI:2135604	nan
MGI:2450757	MP:0001485,MP:0005377,MP:0004405,MP:0004466,MP:0001399,MP:0005384,MP:0005307,MP:0005386,MP:0001522,MP:0001395,MP:0001394,MP:0001967,MP:0004404,MP:0001961,MP:0004522,MP:0004532,MP:0004577,MP:0011967,MP:0004813,MP:0002730,MP:0004527,MP:0004515,MP:0003631
MGI:1923038	MP:0005386,MP:0005390,MP:0005384
MGI:1891258	nan
MGI:1351339	MP:0005386,MP:0005376,MP:0003631,MP:0005384
MGI:2685139	MP:0005386,MP:0005387,MP:0005397
MGI:2384993	MP:0005391,MP:0005389,MP:0005397,MP:0005376,MP:0005387
MGI:2673872	nan
MGI:2443535	MP:0005376
MGI:1917483	MP:0005387,MP:0005378,MP:0005384,MP:0005385,MP:0010768,MP:0005367,MP:0005397,MP:0005380,MP:0005376
MGI:1916824	nan
MGI:1923452	MP:0005382,MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005378,MP:0005385
MGI:1914532	MP:0005391,MP:0010768
MGI:101926	MP:0004726,MP:0005381,MP:0005306,MP:0005380,MP:0010771,MP:0000913,MP:0005230,MP:0002884,MP:0002116,MP:0000564,MP:0000455,MP:0000443,MP:0004452,MP:0000929,MP:0006337,MP:0002081,MP:0004439,MP:0002260,MP:0004594,MP:0005371,MP:0005386,MP:0004596,MP:0000914,MP:0004423,MP:0002098,MP:0000106,MP:0009918,MP:0003755,MP:0005394,MP:0000454,MP:0000452,MP:0001890,MP:0020350,MP:0005382,MP:0000077,MP:0003056,MP:0005384,MP:0005385,MP:0000102,MP:0000109,MP:0003235,MP:0005390,MP:0030383,MP:0002544,MP:0005378,MP:0010939,MP:0002110,MP:0003631,MP:0005377,MP:0005388,MP:0030299,MP:0011089,MP:0004595,MP:0000074,MP:0000556,MP:0010029,MP:0002820,MP:0010768,MP:0000107,MP:0005369,MP:0005270,MP:0005274,MP:0003935,MP:0005105,MP:0003072
MGI:1919129	MP:0005387,MP:0005378,MP:0005385,MP:0005391,MP:0005390,MP:0005370,MP:0005397,MP:0005376
MGI:2146149	MP:0005391,MP:0003631
MGI:1931870	nan
MGI:1858306	MP:0005388,MP:0005379,MP:0005370,MP:0002006,MP:0005397,MP:0005387,MP:0005378
MGI:2676810	MP:0002006,MP:0005370,MP:0005378,MP:0005384,MP:0005387,MP:0010768,MP:0005379,MP:0005397
MGI:1916119	nan
MGI:1914130	nan
MGI:96590	MP:0002006,MP:0005387,MP:0010768,MP:0005385,MP:0005384,MP:0005390,MP:0005379,MP:0005397,MP:0005376
MGI:1922063	nan
MGI:103294	MP:0005391,MP:0005397,MP:0010771,MP:0005376,MP:0005387,MP:0005388
MGI:1276121	MP:0001262,MP:0003997,MP:0010025,MP:0002064,MP:0005375,MP:0005386,MP:0005367,MP:0005370,MP:0011084,MP:0005332,MP:0001406,MP:0003860,MP:0010771,MP:0001265,MP:0005389,MP:0002175,MP:0001510,MP:0002083,MP:0001961,MP:0001732,MP:0010768,MP:0005378,MP:0005369,MP:0003917,MP:0005311,MP:0002981,MP:0004232,MP:0001921,MP:0005376,MP:0003631
MGI:1298379	MP:0001262,MP:0010053,MP:0000876,MP:0003354,MP:0005405,MP:0002757,MP:0005388,MP:0005384,MP:0005385,MP:0009456,MP:0005386,MP:0009454,MP:0001513,MP:0005397,MP:0001053,MP:0020448,MP:0001393,MP:0001265,MP:0001523,MP:0010047,MP:0009400,MP:0000852,MP:0002083,MP:0005387,MP:0005378,MP:0010768,MP:0001263,MP:0005369,MP:0001405,MP:0005376,MP:0003631
MGI:1261419	nan
MGI:1927715	MP:0005386,MP:0005376
MGI:99161	MP:0005389,MP:0005382,MP:0005387,MP:0005378,MP:0010768,MP:0005379,MP:0005397,MP:0005390
MGI:2388131	nan
MGI:1914296	MP:0005369,MP:0005386,MP:0003631,MP:0005378
MGI:108174	MP:0005389,MP:0005387,MP:0005378,MP:0005381,MP:0005384,MP:0005369,MP:0005385,MP:0010768,MP:0005375,MP:0005386,MP:0005397,MP:0005376,MP:0003631
MGI:2387183	nan
MGI:1342283	MP:0005377,MP:0005386,MP:0005367,MP:0005376,MP:0005378,MP:0003631
MGI:2441844	nan
MGI:1918934	nan
MGI:1916034	MP:0005382,MP:0030475,MP:0005381,MP:0005384,MP:0005385,MP:0005367,MP:0005380,MP:0005390,MP:0010771,MP:0000585,MP:0002544,MP:0005378,MP:0010418,MP:0000447,MP:0000445,MP:0001300,MP:0001258,MP:0008414,MP:0000111,MP:0001360,MP:0002639,MP:0003631,MP:0030049,MP:0005377,MP:0005388,MP:0005371,MP:0020357,MP:0005386,MP:0002906,MP:0013895,MP:0010768,MP:0000433,MP:0004686,MP:0011666,MP:0005369,MP:0005391,MP:0005225,MP:0001340
MGI:88524	MP:0005391,MP:0001304,MP:0010254
